id,category,category_label,topic,difficulty,question,options,answer,solution,source_repo,source_file
logical-reasoning-basic-syllogisms-0054,logical-reasoning,Logical Reasoning (Analytical Ability),Syllogisms,basic,No fish are mammals. All whales are mammals. Conclusion: No whales are fish.,True | None of the above | Both True... and alternative | Insufficient data,True,"No fish are mammals (No A are B), all whales are mammals (C→B). No whales are fish (No C are A). Valid.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-syllogisms-0055,logical-reasoning,Logical Reasoning (Analytical Ability),Syllogisms,basic,Some apples are red. Some red things are fruits. Conclusion: Some apples are fruits.,False | None of the above | Both False... and alternative | Insufficient data,False,"Some apples are red (Some A are B), some red things are fruits (Some B are C). No definite conclusion about apples and fruits. Invalid.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-syllogisms-0056,logical-reasoning,Logical Reasoning (Analytical Ability),Syllogisms,basic,All roses are flowers. Some flowers are red. Conclusion: Some roses are red.,False | None of the above | Both False... and alternative | Insufficient data,False,"All roses are flowers (A→B), some flowers are red (Some B are C). No definite conclusion. Invalid.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-syllogisms-0057,logical-reasoning,Logical Reasoning (Analytical Ability),Syllogisms,basic,No cats are dogs. All dogs are pets. Conclusion: No cats are pets.,False | None of the above | Both False... and alternative | Insufficient data,False,"No cats are dogs (No A are B), all dogs are pets (B→C). No definite conclusion. Invalid.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-syllogisms-0058,logical-reasoning,Logical Reasoning (Analytical Ability),Syllogisms,basic,All engineers are smart. Some smart people are coders. Conclusion: Some engineers are coders.,False | None of the above | Both False... and alternative | Insufficient data,False,"All engineers are smart (A→B), some smart people are coders (Some B are C). No definite conclusion. Invalid.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-syllogisms-0059,logical-reasoning,Logical Reasoning (Analytical Ability),Syllogisms,basic,All books are pages. All pages are paper. Conclusion: All books are paper.,True | None of the above | Both True... and alternative | Insufficient data,True,"All books are pages (A→B), all pages are paper (B→C). All books are paper (A→C). Valid.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-syllogisms-0060,logical-reasoning,Logical Reasoning (Analytical Ability),Syllogisms,basic,Some cars are fast. All fast things are expensive. Conclusion: Some cars are expensive.,True | None of the above | Both True... and alternative | Insufficient data,True,"Some cars are fast (Some A are B), all fast things are expensive (B→C). Some cars are expensive (Some A are C). Valid.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-puzzles-0061,logical-reasoning,Logical Reasoning (Analytical Ability),Puzzles,basic,"Three houses A, B, C are in a row. A is to the left of B, and C is to the right of A. Which house is in the middle?",B | None of the above | Both B... and alternative | Insufficient data,B,"A is left of B, C is right of A. Order: A, B, C. B is in the middle.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-puzzles-0062,logical-reasoning,Logical Reasoning (Analytical Ability),Puzzles,basic,"In a race, P finishes before Q but after R. Who finishes first?",R | None of the above | Both R... and alternative | Insufficient data,R,"R finishes before P, P before Q. Order: R, P, Q. R finishes first.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-puzzles-0063,logical-reasoning,Logical Reasoning (Analytical Ability),Puzzles,basic,"Four people A, B, C, D sit in a row. A is next to B, and C is next to D. Who can be at the ends?",A or D | None of the above | Both A or D... and alternative | Insufficient data,A or D,"A and B are together, C and D are together. Possible orders: A-B-C-D, D-C-B-A, etc. Ends can be A or D (or B or C in reverse).",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-puzzles-0064,logical-reasoning,Logical Reasoning (Analytical Ability),Puzzles,basic,"Three friends X, Y, Z have different ages. X is younger than Y, and Z is older than X. Who is the youngest?",X | None of the above | Both X... and alternative | Insufficient data,X,"X is younger than Y, Z is older than X. X is the youngest.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-puzzles-0065,logical-reasoning,Logical Reasoning (Analytical Ability),Puzzles,basic,"In a line, P is second from the left, and Q is third from the right. If there are 5 people, who is in the middle?",Q | None of the above | Both Q... and alternative | Insufficient data,Q,"Total 5 positions. P is 2nd (left). Q is 3rd from right, so 3rd (5-3+1). Order: _ P _ Q _. Middle is 3rd, which is Q.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-puzzles-0066,logical-reasoning,Logical Reasoning (Analytical Ability),Puzzles,basic,"A, B, C are three boxes. A is heavier than B, and B is heavier than C. Which is the lightest?",C | None of the above | Both C... and alternative | Insufficient data,C,A > B > C. C is the lightest.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-puzzles-0067,logical-reasoning,Logical Reasoning (Analytical Ability),Puzzles,basic,"In a class, M is taller than N but shorter than O. Who is the tallest?",O | None of the above | Both O... and alternative | Insufficient data,O,O > M > N. O is the tallest.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-puzzles-0068,logical-reasoning,Logical Reasoning (Analytical Ability),Puzzles,basic,"Three cars P, Q, R are parked. P is to the left of Q, and R is to the right of Q. Which is in the middle?",Q | None of the above | Both Q... and alternative | Insufficient data,Q,"Order: P, Q, R. Q is in the middle.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-puzzles-0069,logical-reasoning,Logical Reasoning (Analytical Ability),Puzzles,basic,"Four students A, B, C, D sit in a circle. A is opposite B, and C is next to A. Who is opposite C?",D | None of the above | Both D... and alternative | Insufficient data,D,A and B are opposite. C is next to A. Possible order: A-C-D-B. Opposite C is D.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-puzzles-0070,logical-reasoning,Logical Reasoning (Analytical Ability),Puzzles,basic,"In a queue, X is third from the front, and Y is second from the back. If there are 6 people, who is between X and Y?",4th person | 6th person | 1th person | 8th person,4th person,X is 3rd. Y is 5th (6-2+1). Order: _ _ X _ Y _. Person in 4th position is between X and Y.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-data-sufficiency-0071,logical-reasoning,Logical Reasoning (Analytical Ability),Data Sufficiency,basic,Is x > 5? (1) x + 2 = 7 (2) x - 3 = 2,Not sufficient | None of the above | Both Not sufficient... and alternative | Insufficient data,Not sufficient,"(1) \( x + 2 = 7 \), so \( x = 5 \). Not sufficient (x = 5, not > 5). (2) \( x - 3 = 2 \), so \( x = 5 \). Not sufficient. Both give \( x = 5 \). Not sufficient.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-data-sufficiency-0072,logical-reasoning,Logical Reasoning (Analytical Ability),Data Sufficiency,basic,What is the value of y? (1) y + 4 = 10 (2) 2y = 12,Each alone is sufficient | None of the above | Both Each alone is s... and alternative | Insufficient data,Each alone is sufficient,"(1) \( y + 4 = 10 \), so \( y = 6 \). Sufficient. (2) \( 2y = 12 \), so \( y = 6 \). Sufficient.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-data-sufficiency-0073,logical-reasoning,Logical Reasoning (Analytical Ability),Data Sufficiency,basic,Is a rectangle a square? (1) All sides are equal (2) One side is 5,Statement 1 alone is sufficient | Statement 3 alone is sufficient | Statement 2 alone is sufficient | Statement 31 alone is sufficient,Statement 1 alone is sufficient,(1) All sides equal implies a square. Sufficient. (2) One side = 5 does not confirm equal sides. Not sufficient.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-data-sufficiency-0074,logical-reasoning,Logical Reasoning (Analytical Ability),Data Sufficiency,basic,What is the age of A? (1) A is twice as old as B (2) B is 10 years old,Both statements together are sufficient | None of the above | Both Both statements... and alternative | Insufficient data,Both statements together are sufficient,(1) A = 2B. Not sufficient without B’s age. (2) B = 10. Not sufficient without A’s relation. Both: A = 2 × 10 = 20. Sufficient.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-data-sufficiency-0075,logical-reasoning,Logical Reasoning (Analytical Ability),Data Sufficiency,basic,Is x positive? (1) x^2 = 16 (2) x > 0,Statement 2 alone is sufficient | Statement 4 alone is sufficient | Statement 1 alone is sufficient | Statement 32 alone is sufficient,Statement 2 alone is sufficient,"(1) \( x^2 = 16 \), so \( x = \pm 4 \). Not sufficient. (2) \( x > 0 \). Sufficient.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-data-sufficiency-0076,logical-reasoning,Logical Reasoning (Analytical Ability),Data Sufficiency,basic,What is the value of z? (1) z + 5 = 8 (2) z - 2 = 1,Each alone is sufficient | None of the above | Both Each alone is s... and alternative | Insufficient data,Each alone is sufficient,"(1) \( z + 5 = 8 \), so \( z = 3 \). Sufficient. (2) \( z - 2 = 1 \), so \( z = 3 \). Sufficient.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-data-sufficiency-0077,logical-reasoning,Logical Reasoning (Analytical Ability),Data Sufficiency,basic,Is a triangle equilateral? (1) Two sides are equal (2) One angle is 60°,Not sufficient | None of the above | Both Not sufficient... and alternative | Insufficient data,Not sufficient,"(1) Two sides equal implies isosceles, not necessarily equilateral. Not sufficient. (2) One angle = 60° does not confirm all angles equal. Not sufficient. Both: Still not sufficient without all sides or angles equal.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-data-sufficiency-0078,logical-reasoning,Logical Reasoning (Analytical Ability),Data Sufficiency,basic,What is the value of x + y? (1) x = 5 (2) y = 3,Both statements together are sufficient | None of the above | Both Both statements... and alternative | Insufficient data,Both statements together are sufficient,(1) x = 5. Not sufficient without y. (2) y = 3. Not sufficient without x. Both: x + y = 5 + 3 = 8. Sufficient.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-data-sufficiency-0079,logical-reasoning,Logical Reasoning (Analytical Ability),Data Sufficiency,basic,Is x even? (1) x is divisible by 2 (2) x is a multiple of 3,Statement 1 alone is sufficient | Statement 3 alone is sufficient | Statement 2 alone is sufficient | Statement 31 alone is sufficient,Statement 1 alone is sufficient,"(1) Divisible by 2 means x is even. Sufficient. (2) Multiple of 3 (e.g., 3, 6) may or may not be even. Not sufficient.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-data-sufficiency-0080,logical-reasoning,Logical Reasoning (Analytical Ability),Data Sufficiency,basic,What is the value of p? (1) p + q = 10 (2) p - q = 4,Both statements together are sufficient | None of the above | Both Both statements... and alternative | Insufficient data,Both statements together are sufficient,"Add (1) and (2): \( (p + q) + (p - q) = 10 + 4 \), so \( 2p = 14 \), \( p = 7 \).",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-non-verbal-reasoning-0081,logical-reasoning,Logical Reasoning (Analytical Ability),Non-Verbal Reasoning,basic,"Which shape completes the pattern: Square, Circle, Square, Circle, ?",Square | None of the above | Both Square... and alternative | Insufficient data,Square,"The pattern alternates: Square, Circle, Square, Circle. Next is Square.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-non-verbal-reasoning-0082,logical-reasoning,Logical Reasoning (Analytical Ability),Non-Verbal Reasoning,basic,"If a figure rotates 90° clockwise, and it’s a triangle pointing up, what is the new orientation?",Right | None of the above | Both Right... and alternative | Insufficient data,Right,Upward triangle rotates 90° clockwise to point right.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-non-verbal-reasoning-0083,logical-reasoning,Logical Reasoning (Analytical Ability),Non-Verbal Reasoning,basic,"In a 3x3 grid, top row: 1, 2, 3; middle row: 4, 5, 6; bottom row: 7, 8, ?. What is the missing number?",9 | 14 | 6 | 18,9,"Sequential numbers: 1, 2, 3, 4, 5, 6, 7, 8, 9. Missing number: 9.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-non-verbal-reasoning-0084,logical-reasoning,Logical Reasoning (Analytical Ability),Non-Verbal Reasoning,basic,"A pattern shows 2 stars, 4 stars, 6 stars. How many stars in the next term?",8 stars | 13 stars | 5 stars | 16 stars,8 stars,"Arithmetic sequence: 2, 4, 6 (common difference 2). Next: 6 + 2 = 8.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-non-verbal-reasoning-0085,logical-reasoning,Logical Reasoning (Analytical Ability),Non-Verbal Reasoning,basic,"If a square is divided into 4 smaller squares, and 3 are shaded, how many are unshaded?",1 | 3 | 2 | 31,1,Total squares = 4. Shaded = 3. Unshaded = 4 - 3 = 1.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-non-verbal-reasoning-0086,logical-reasoning,Logical Reasoning (Analytical Ability),Non-Verbal Reasoning,basic,"A clock shows 3:00. After rotating 180°, what time does it show?",9:00 | 14:00 | 6:00 | 18:00,9:00,180° rotation flips the clock. 3:00 becomes 9:00 (opposite on clock face).,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-non-verbal-reasoning-0087,logical-reasoning,Logical Reasoning (Analytical Ability),Non-Verbal Reasoning,basic,"Which shape follows: Circle, Triangle, Square, Circle, ?",Triangle | None of the above | Both Triangle... and alternative | Insufficient data,Triangle,"Pattern repeats every 3: Circle, Triangle, Square. After Circle, next is Triangle.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-non-verbal-reasoning-0088,logical-reasoning,Logical Reasoning (Analytical Ability),Non-Verbal Reasoning,basic,"In a 2x2 grid: top-left = 1, top-right = 2, bottom-left = 3, bottom-right = ?. What is the missing number?",4 | 6 | 1 | 8,4,"Sequential: 1, 2, 3, 4. Missing number: 4.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-non-verbal-reasoning-0089,logical-reasoning,Logical Reasoning (Analytical Ability),Non-Verbal Reasoning,basic,"A pattern shows 1 dot, 3 dots, 5 dots. How many dots in the next term?",7 dots | 12 dots | 4 dots | 14 dots,7 dots,"Odd numbers: 1, 3, 5. Next: 5 + 2 = 7.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-non-verbal-reasoning-0090,logical-reasoning,Logical Reasoning (Analytical Ability),Non-Verbal Reasoning,basic,"If a cube is painted on all faces and cut into 8 smaller cubes, how many have exactly 2 faces painted?",12 | 17 | 9 | 24,12,"A 2x2x2 cube has 8 smaller cubes. Cubes with 2 faces painted are edge cubes (not corners). Each edge has 1 such cube, and there are 12 edges.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-additional-basic-questions-0091,logical-reasoning,Logical Reasoning (Analytical Ability),Additional Basic Questions,basic,"Find the next letter: A, C, E, G, ?",I | None of the above | Both I... and alternative | Insufficient data,I,"Letters correspond to positions: A=1, C=3, E=5, G=7 (odd numbers). Next: 9th letter = I.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-additional-basic-questions-0092,logical-reasoning,Logical Reasoning (Analytical Ability),Additional Basic Questions,basic,"If “HOUSE” is coded as “IPVTF,” how is “GARDEN” coded?",HSBJFO | None of the above | Both HSBJFO... and alternative | Insufficient data,HSBJFO,"Each letter in HOUSE is shifted forward by 1: H→I, O→P, U→V, S→T, E→F. For GARDEN: G+1=H, A+1=B, R+1=S, D+1=E, E+1=F, N+1=O.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-additional-basic-questions-0093,logical-reasoning,Logical Reasoning (Analytical Ability),Additional Basic Questions,basic,"A is B’s father, and C is B’s sister. Who is A to C?",Father | None of the above | Both Father... and alternative | Insufficient data,Father,"A is B’s father, C is B’s sister. A is C’s father.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-additional-basic-questions-0094,logical-reasoning,Logical Reasoning (Analytical Ability),Additional Basic Questions,basic,"A person walks 3 km north, then 4 km west. How far is he from the starting point?",5 km | 7 km | 2 km | 10 km,5 km,Distance = \( \sqrt{3^2 + 4^2} = \sqrt{9 + 16} = 5 \) km.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-additional-basic-questions-0095,logical-reasoning,Logical Reasoning (Analytical Ability),Additional Basic Questions,basic,All pens are tools. Some tools are sharp. Conclusion: Some pens are sharp.,False | None of the above | Both False... and alternative | Insufficient data,False,"All pens are tools (A→B), some tools are sharp (Some B are C). No definite conclusion离开了 System: conclusion. Invalid.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-additional-basic-questions-0096,logical-reasoning,Logical Reasoning (Analytical Ability),Additional Basic Questions,basic,"Find the next number: 7, 14, 28, 56, ?",112 | 117 | 109 | 224,112,"Each term is multiplied by 2: 7 × 2 = 14, 14 × 2 = 28, 28 × 2 = 56. Next number: 56 × 2 = 112.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-additional-basic-questions-0097,logical-reasoning,Logical Reasoning (Analytical Ability),Additional Basic Questions,basic,"If “RAT” is coded as “SBU,” how is “COW” coded?",DPX | None of the above | Both DPX... and alternative | Insufficient data,DPX,"Each letter is shifted forward by 1: R→S, A→B, T→U. For COW: C+1=D, O+1=P, W+1=X.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-additional-basic-questions-0098,logical-reasoning,Logical Reasoning (Analytical Ability),Additional Basic Questions,basic,"A man walks 5 km east, then 12 km north. How far is he from the starting point?",13 km | 18 km | 10 km | 26 km,13 km,Distance = \( \sqrt{5^2 + 12^2} = \sqrt{25 + 144} = \sqrt{169} = 13 \) km.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-additional-basic-questions-0099,logical-reasoning,Logical Reasoning (Analytical Ability),Additional Basic Questions,basic,Some cats are black. All black things are dark. Conclusion: Some cats are dark.,True | None of the above | Both True... and alternative | Insufficient data,True,"Some cats are black (Some A are B), all black things are dark (B→C). Some cats are dark (Some A are C). Valid.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-basic-additional-basic-questions-0100,logical-reasoning,Logical Reasoning (Analytical Ability),Additional Basic Questions,basic,"In a 3x3 grid, top row: 2, 4, 6; middle row: 8, 10, 12; bottom row: 14, 16, ?. What is the missing number?",18 | 23 | 15 | 36,18,"Sequential even numbers: 2, 4, 6, 8, 10, 12, 14, 16, 18. Missing number: 18.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/01 Basic/README.md
logical-reasoning-intermediate-series-0001,logical-reasoning,Logical Reasoning (Analytical Ability),Series,intermediate,"Find the next number in the series: 2, 5, 11, 23, ?",47 | 52 | 44 | 94,47,"The pattern is: each term is obtained by doubling the previous term and adding 1. 2 × 2 + 1 = 5, 5 × 2 + 1 = 11, 11 × 2 + 1 = 23, 23 × 2 + 1 = 47.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/02 Intermediate/README.md
logical-reasoning-intermediate-series-0002,logical-reasoning,Logical Reasoning (Analytical Ability),Series,intermediate,"Find the missing number: 3, 7, 16, ?, 48",35 | 40 | 32 | 70,35,"The pattern is: multiply by 2 and add 1, then multiply by 2 and add 2, and so on. 3 × 2 + 1 = 7, 7 × 2 + 2 = 16, 16 × 2 + 3 = 35, 35 × 2 + 4 = 74. Check: 35 fits as 16 × 2 + 3 = 35, and 35 × 2 + 6 = 76 (adjust pattern). Correct pattern: 3 × 2 + 1 = 7, 7 × 2 + 2 = 16, 16 × 2 + 3 = 35, 35 × 2 + 4 = 74. Missing number: 35.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/02 Intermediate/README.md
logical-reasoning-intermediate-series-0003,logical-reasoning,Logical Reasoning (Analytical Ability),Series,intermediate,"Find the next number: 1, 4, 10, 22, ?",46 | 51 | 43 | 92,46,"Differences: 4 - 1 = 3, 10 - 4 = 6, 22 - 10 = 12. Differences double: 3 × 2 = 6, 6 × 2 = 12, 12 × 2 = 24. Next number: 22 + 24 = 46.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/02 Intermediate/README.md
logical-reasoning-intermediate-series-0004,logical-reasoning,Logical Reasoning (Analytical Ability),Series,intermediate,"Find the next number: 8, 6, 9, 23, ?",76 | 81 | 73 | 152,76,"Pattern: multiply by 1 and subtract 2, multiply by 2 and subtract 3, multiply by 3 and subtract 4, multiply by 4 and subtract 5. 8 × 1 - 2 = 6, 6 × 1.5 - 3 = 9, 9 × 2.5 - 4 = 22.5 ≈ 23, 23 × 3.5 - 5 = 75.5 ≈ 76.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/02 Intermediate/README.md
logical-reasoning-intermediate-series-0005,logical-reasoning,Logical Reasoning (Analytical Ability),Series,intermediate,"Find the missing number: 2, 6, 12, ?, 30",18 | 23 | 15 | 36,18,"Pattern: multiply by 3, multiply by 2, multiply by 1.5, multiply by 1.25. 2 × 3 = 6, 6 × 2 = 12, 12 × 1.5 = 18, 18 × 1.25 = 22.5 (adjust). Correct: 2, 6, 12, 18, 30. Missing number: 18.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/02 Intermediate/README.md
logical-reasoning-intermediate-series-0006,logical-reasoning,Logical Reasoning (Analytical Ability),Series,intermediate,"Find the next number: 5, 10, 25, 80, ?",320 | 325 | 317 | 640,320,"Pattern: multiply by 2, multiply by 2.5, multiply by 3.2, multiply by 4. 5 × 2 = 10, 10 × 2.5 = 25, 25 × 3.2 = 80, 80 × 4 = 320.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/02 Intermediate/README.md
logical-reasoning-intermediate-series-0007,logical-reasoning,Logical Reasoning (Analytical Ability),Series,intermediate,"Find the next number: 1, 3, 8, 22, ?",56 | 61 | 53 | 112,56,"Pattern: multiply by 2 and add 1, multiply by 2 and add 2, multiply by 2 and add 6, multiply by 2 and add 12. 1 × 2 + 1 = 3, 3 × 2 + 2 = 8, 8 × 2 + 6 = 22, 22 × 2 + 12 = 56.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/02 Intermediate/README.md
logical-reasoning-intermediate-series-0008,logical-reasoning,Logical Reasoning (Analytical Ability),Series,intermediate,"Find the missing number: 4, 9, 25, ?, 121",49 | 54 | 46 | 98,49,"The series is: 2², 3², 5², 7², 11² (squares of prime numbers). Missing number: 7² = 49.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/02 Intermediate/README.md
logical-reasoning-intermediate-series-0009,logical-reasoning,Logical Reasoning (Analytical Ability),Series,intermediate,"Find the next number: 7, 14, 28, 49, ?",77 | 82 | 74 | 154,77,"Pattern: differences are 7, 14, 21 (multiples of 7). Next difference: 28. 49 + 28 = 77.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/02 Intermediate/README.md
logical-reasoning-intermediate-series-0010,logical-reasoning,Logical Reasoning (Analytical Ability),Series,intermediate,"Find the next number: 2, 8, 20, 38, ?",62 | 67 | 59 | 124,62,"Differences: 6, 12, 18. Pattern: add 6, add 12, add 18, add 24. Next number: 38 + 24 = 62.",rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/02 Intermediate/README.md
logical-reasoning-intermediate-analogies-0011,logical-reasoning,Logical Reasoning (Analytical Ability),Analogies,intermediate,Clock : Time :: Thermometer : ?,Temperature | None of the above | Both Temperature... and alternative | Insufficient data,Temperature,A clock measures time; a thermometer measures temperature.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/02 Intermediate/README.md
logical-reasoning-intermediate-analogies-0012,logical-reasoning,Logical Reasoning (Analytical Ability),Analogies,intermediate,Square : Four :: Pentagon : ?,Five | None of the above | Both Five... and alternative | Insufficient data,Five,A square has four sides; a pentagon has five sides.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/02 Intermediate/README.md
logical-reasoning-intermediate-analogies-0013,logical-reasoning,Logical Reasoning (Analytical Ability),Analogies,intermediate,Tree : Forest :: Soldier : ?,Army | None of the above | Both Army... and alternative | Insufficient data,Army,A tree is part of a forest; a soldier is part of an army.,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/02 Intermediate/README.md
logical-reasoning-intermediate-analogies-0014,logical-reasoning,Logical Reasoning (Analytical Ability),Analogies,intermediate,Key : Lock :: Password : ?,System | None of the above | Both System... and alternative | Insufficient data,System,A key opens a lock; a password opens a system (or account).,rohanmistry231/CSE-Aptitude-Test-Practice-Hub,02 Logical Reasoning (Analytical Ability)/02 Intermediate/README.md
